disease,symptoms
Crohn's disease,"abdominal pain and cramping, diarrhea sometimes bloody, weight loss, fatigue, fever, reduced appetite, mouth sores, skin rashes, joint pain, anal pain"
Cystic fibrosis,"persistent cough with thick mucus, frequent lung infections, salty-tasting skin, poor weight gain, greasy bulky stools, shortness of breath, nasal polyps, exercise intolerance"
Carpal tunnel syndrome,"numbness in hand and fingers, tingling especially at night, wrist pain, weakness in grip, dropping objects, burning sensation, pain worse at night, forearm ache"
Chronic fatigue syndrome,"extreme prolonged tiredness, unrefreshing sleep, post-exertional malaise, cognitive impairment (brain fog), muscle pain, joint pain, headaches, sore throat, tender lymph nodes, dizziness"
Diabetes,"increased thirst, frequent urination, fatigue, blurred vision, slow-healing sores, frequent infections, numbness in feet or hands, dark skin patches, unintended weight loss, increased hunger"
Depression,"persistent sadness or emptiness, hopelessness, loss of interest, fatigue, changes in appetite, sleep disturbances, difficulty concentrating, worthlessness, psychomotor slowing, recurrent dark thoughts"
Dengue fever,"high fever, severe headache, pain behind the eyes, severe muscle and joint pain, nausea, vomiting, skin rash, mild bleeding, fatigue, loss of appetite"
Diverticulitis,"left lower abdominal pain, fever, nausea, vomiting, changes in bowel habits, constipation or diarrhea, bloating, rectal bleeding, abdominal tenderness"
Dyslexia,"difficulty reading, mixing up letters and words, poor spelling, slow reading pace, difficulty writing, trouble rhyming, avoidance of reading, poor phonological awareness, letter reversals"
Dermatitis,"red skin rash at contact site, itching, burning, blistering, dry cracked skin, swelling, tenderness, oozing sores, crusting"
Dementia,"memory loss, confusion, disorientation, personality changes, difficulty with language, impaired judgment, difficulty with daily tasks, mood changes, paranoia, wandering behavior"
Dyspepsia,"upper abdominal pain, bloating, fullness after small meal, nausea, belching, heartburn, burning in stomach, early satiety, occasional vomiting"
Dupuytren's contracture,"thickened cord-like tissue in palm, one or more fingers bent toward palm, difficulty straightening fingers, nodules in palm, hand deformity progressing slowly"
Dry eye syndrome,"stinging or burning eyes, paradoxical watering, light sensitivity, blurred vision, redness, sandy feeling in eyes, difficulty wearing contacts, eye fatigue"
Eczema,"itchy skin, red to brownish-gray patches, small raised bumps, thickened or cracked skin, raw or swollen skin from scratching, dry skin, flares from irritants, sleep disruption"
Epilepsy,"recurring seizures, temporary confusion, staring spells, uncontrollable jerking movements, loss of consciousness, fear or anxiety before seizure, automatisms, post-ictal fatigue"
Emphysema,"shortness of breath especially on exertion, chronic cough, wheezing, fatigue, barrel-shaped chest, bluish lips or fingertips, weight loss, reduced exercise tolerance"
Endometriosis,"painful menstrual periods, chronic pelvic pain, pain during intercourse, pain with bowel movements or urination, heavy menstrual bleeding, infertility, fatigue, nausea during periods"
Ear infection,"ear pain, difficulty hearing, fluid draining from ear, fever, fussiness in children, hearing loss, pulling at ear, trouble sleeping, nausea"
Esophagitis,"difficulty swallowing, painful swallowing, heartburn, chest pain behind breastbone, food getting stuck, nausea, regurgitation, hoarseness, chronic cough"
Erythema nodosum,"painful red or purple lumps under skin on shins, fever, fatigue, joint pain and swelling, tenderness when touched, lumps lasting weeks, associated with infection or medication"
Essential tremor,"rhythmic shaking in hands when in use, voice tremor, head nodding, shaking worse with movement, runs in families, embarrassment when eating or writing"
Ehlers-Danlos syndrome,"highly flexible joints, stretchy or velvety skin, easy bruising, slow wound healing, chronic pain, joint dislocations, fatigue, cardiovascular complications in some types"
Eosinophilic esophagitis,"difficulty swallowing, food impaction in throat, heartburn unresponsive to medication, chest pain, regurgitation, nausea, weight loss, abdominal pain, growth failure in children"
Fibromyalgia,"widespread musculoskeletal pain, fatigue, unrefreshing sleep, cognitive difficulties, headaches, irritable bowel symptoms, tender points, depression, anxiety, numbness or tingling"
Food poisoning,"nausea, vomiting, diarrhea, stomach cramps, fever, weakness, headache, dehydration, muscle aches, onset hours after contaminated food"
Fungal infection,"skin rash in body folds, itching, peeling skin, redness, scaling, nail discoloration, odor, circular patches, cracking skin, blistering"
Flu (Influenza),"sudden high fever, severe muscle aches and body pain, chills, headache, dry cough, sore throat, runny nose, extreme fatigue, loss of appetite, rapid onset within hours"
Frozen shoulder,"gradual shoulder pain, severe stiffness, markedly limited range of motion, pain worse at night, difficulty reaching overhead, difficulty sleeping on affected side"
Farsightedness,"blurry vision for nearby objects, eye strain, headaches after near work, difficulty reading, squinting, aching eyes, difficulty with close-up tasks"
Flat feet,"foot pain especially in arch or heel, swelling along inside of ankle, stiff feet, shoe wear unevenly, leg and lower back pain, difficulty standing on tiptoe, knee and hip pain"
Folliculitis,"small red bumps or pimples around hair follicles, itching, burning, pus-filled blisters, tender skin, rash spreading after shaving, ingrown hairs, crusty sores"
Fragile X syndrome,"developmental delays, intellectual disability, social anxiety, learning disabilities, attention difficulties, hyperactivity, repetitive behaviors, large ears, flexible joints, seizures"
Fifth disease,"bright red rash on both cheeks (slapped cheek), lacy rash spreading to trunk, low fever, runny nose, joint pain especially in adults, fatigue, itching"
Gastritis,"burning or gnawing stomach pain, nausea, vomiting, indigestion, bloating, loss of appetite, belching, hiccups, black stools if bleeding"
Gout,"sudden severe joint pain especially big toe, swelling, extreme tenderness, warmth, redness, joint looks shiny, limited range of motion, fever, pain worst at night"
Glaucoma,"gradual peripheral vision loss, tunnel vision in late stage, blurred vision, eye pain and redness (acute form), nausea, halos around lights, severe headache in acute form"
Giardiasis,"watery diarrhea, greasy floating stools, stomach cramps, gas and bloating, nausea, fatigue, dehydration, weight loss, onset 1-3 weeks after exposure"
Gallstones,"sudden intense pain in upper right abdomen, back pain between shoulder blades, right shoulder pain, nausea, vomiting, pain after fatty meals, fever with chills if infected, jaundice"
Gangrene,"skin discoloration (black or green), foul-smelling discharge, severe pain then numbness, blistering, skin breakdown, coldness of affected area, fever, sepsis if spreading"
German measles,"mild fever, fine pink rash starting on face spreading to body, swollen lymph nodes behind ears and neck, joint pain, headache, runny nose, red eyes"
Gingivitis,"swollen gums, red or dark-red gums, tender gums, bleeding when brushing, bad breath, receding gums, soft gums, color change in gums"
Graves' disease,"anxiety, hand tremors, heat sensitivity, weight loss despite increased appetite, rapid or irregular heartbeat, enlarged thyroid, bulging eyes, increased sweating, muscle weakness"
Guillain-Barre syndrome,"progressive ascending weakness from legs upward, tingling in hands and feet, unsteady gait, facial movement difficulty, difficulty swallowing and breathing, rapid heart rate, pain"
Hypertension,"mostly asymptomatic, severe headache in crisis, nosebleeds, shortness of breath, visual changes, chest pain, blood in urine, flushing, pounding in chest or neck"
Hemorrhoids,"rectal bleeding during bowel movements, itching or irritation around anus, pain or discomfort, swelling around anus, leakage of feces, sensitive or painful lump near anus"
Hepatitis,"fatigue, nausea, abdominal pain, jaundice, dark urine, pale stools, loss of appetite, joint pain, fever, easy bruising, itchy skin"
Hives,"itchy raised welts on skin, redness, swelling including face lips throat, burning or stinging, welts that change shape, blanching when pressed, triggered by allergens or stress"
Heart failure,"shortness of breath on exertion or lying down, fatigue, leg and ankle swelling, rapid or irregular heartbeat, reduced exercise tolerance, persistent cough with frothy mucus, sudden weight gain"
Hernia,"visible bulge in groin or abdomen, pain when bending coughing or lifting, heaviness or pressure, weakness at bulge site, aching worsened by activity"
Herpes,"painful blisters on mouth or genitals, tingling before outbreak, blisters that burst and crust, flu-like symptoms, swollen lymph nodes, itching, recurring outbreaks"
Hypothyroidism,"fatigue, weight gain, cold sensitivity, constipation, dry skin, puffy face, hoarse voice, muscle weakness, elevated cholesterol, slowed heart rate, depression, poor memory"
Headache,"head pain varying from dull to sharp, pressure sensation, throbbing, pain behind eyes, sensitivity to light or sound, neck stiffness, nausea, worsened by bending"
Hay fever,"sneezing, runny nose, nasal congestion, itchy eyes, watery eyes, itchy throat, coughing, postnasal drip, reduced smell, triggered by pollen or dust"
Insomnia,"difficulty falling asleep, waking frequently during night, waking too early, unrefreshing sleep, daytime tiredness, irritability, difficulty concentrating, anxiety about sleep"
Irritable bowel syndrome,"abdominal pain relieved by bowel movement, bloating, excess gas, diarrhea or constipation alternating, mucus in stool, urgency, incomplete evacuation, nausea"
Impetigo,"red sores on face around nose and mouth, sores that rupture quickly, honey-colored crusts, itching, painless fluid-filled blisters, red skin, contagious rash"
Iron deficiency anemia,"fatigue, weakness, pale or yellowish skin, shortness of breath on exertion, cold hands and feet, brittle nails, craving non-food items, headache, dizziness, rapid heartbeat"
Influenza,"sudden high fever, severe muscle aches, chills, headache, dry cough, sore throat, fatigue, runny nose, loss of appetite, vomiting and diarrhea in children"
Ingrown toenail,"toe pain along nail edge, redness around nail, swelling, infection with pus, tenderness when pressed, skin growing over nail edge, difficulty walking"
Interstitial cystitis,"chronic bladder pain and pressure, pelvic pain, frequent urination (up to 60 times daily), urgency, pain during intercourse, worsened by certain foods, small bladder capacity"
Iritis,"eye pain, light sensitivity, blurred vision, redness especially around iris, small or irregular pupil, floaters, eye ache, tearing, decreased vision"
Ichthyosis,"dry scaly skin resembling fish scales, thickened skin, itching, redness, cracking, tightness of skin, scaling on trunk and limbs, blistering in some types"
Infectious mononucleosis,"severe fatigue, very sore throat, swollen lymph nodes in neck and armpits, fever, headache, skin rash, swollen spleen, enlarged liver, night sweats, loss of appetite"
Jaundice,"yellow skin, yellow whites of eyes, dark amber urine, pale clay-colored stools, abdominal pain, fatigue, itching, fever, weight loss, nausea"
Juvenile arthritis,"joint pain, joint swelling, stiffness especially in morning, fever, rash, swollen lymph nodes, limping, fatigue, eye inflammation, growth problems"
Jock itch,"red itchy rash in groin area, burning sensation, flaking or scaling skin, rash spreading to inner thighs, worsened by sweating, cracked skin, odor"
Joint dislocation,"visible deformity at joint, sudden intense pain, swelling, bruising, inability to move joint, numbness or tingling beyond joint, muscle spasm"
Jaw pain,"pain when chewing, clicking or popping sounds in jaw, difficulty opening mouth wide, headache, earache, facial pain, jaw locking, muscle tenderness, neck and shoulder stiffness"
Japanese encephalitis,"high fever, headache, vomiting, confusion, disorientation, seizures, muscle weakness, paralysis, inflammation of brain, coma in severe cases, transmitted by mosquito"
Juvenile diabetes,"extreme thirst, frequent urination, bedwetting, extreme hunger, weight loss, irritability, blurred vision, fatigue, fruity-smelling breath, type 1 onset in youth"
Jejunoileitis,"abdominal pain and cramping, diarrhea, weight loss, malnutrition, bloating, nausea, vomiting, fatigue, anemia, growth retardation in children"
Junctional epidermolysis bullosa,"fragile skin blistering with minor trauma, blisters inside mouth, nail abnormalities, dental problems, poor wound healing, chronic open sores"
Jod-Basedow phenomenon,"rapid heartbeat, weight loss, tremor, nervousness, heat intolerance, sweating, hyperthyroidism triggered by excess iodine, palpitations, anxiety"
Kidney stones,"severe flank pain radiating to lower abdomen, pain that comes in waves, nausea, vomiting, blood in urine, cloudy or foul-smelling urine, frequent urination, burning during urination, fever if infected"
Kawasaki disease,"high fever lasting more than 5 days, red bloodshot eyes, cracked red lips, strawberry tongue, swollen hands and feet, skin peeling, rash on trunk, swollen lymph nodes in neck"
Keratitis,"eye pain, eye redness, blurred vision, tearing, light sensitivity, foreign body sensation, discharge, difficulty opening eye, corneal haziness"
Klinefelter syndrome,"small testes, reduced facial and body hair, enlarged breast tissue, tall stature, weak bones, low testosterone, infertility, learning difficulties, fatigue"
Kyphosis,"exaggerated forward rounding of upper back, back pain, stiffness, fatigue, tenderness along spine, difficulty breathing in severe cases, hunched appearance"
Keloid,"raised thick scar tissue beyond original wound, itching, pain, limited mobility near scar, redness or dark coloration, rubbery texture, grows over time"
Keratosis pilaris,"rough bumpy skin like goose bumps, dry skin, chicken-skin appearance on upper arms thighs buttocks, usually painless, mild redness around bumps, plugged hair follicles"
Korsakoff syndrome,"severe inability to form new memories, confabulation (making up information), disorientation, vision changes, loss of muscle coordination, confusion, indifference to problems"
Kaposi's sarcoma,"purple red or brown skin lesions, lesions on mouth or throat, lesions in lungs causing cough, lesions in gastrointestinal tract, swelling, pain, bleeding"
Krabbe disease,"irritability, muscle weakness and stiffness, feeding difficulties, seizures, developmental regression, vision and hearing loss, high fever, progressive neurological decline"
Laryngitis,"hoarse or weak voice, loss of voice, dry or sore throat, dry cough, mild fever, constant throat clearing, difficulty speaking, swollen lymph nodes"
Lupus,"butterfly-shaped rash across cheeks and nose, fatigue, joint pain and swelling, photosensitivity, fever, hair loss, mouth ulcers, chest pain, dry eyes, cognitive problems"
Lyme disease,"bull's-eye rash (erythema migrans), fever, chills, fatigue, body aches, headache, joint pain and swelling, facial palsy, heart palpitations, nerve pain"
Leukemia,"fatigue, frequent infections, unexpected weight loss, easy bruising or bleeding, swollen lymph nodes, enlarged spleen or liver, bone pain, recurrent nosebleeds, night sweats, pale skin"
Lung cancer,"persistent worsening cough, coughing up blood, shortness of breath, chest pain, hoarseness, unexplained weight loss, bone pain, headache, recurrent pneumonia"
Lice infestation,"intense scalp itching, visible lice or nits on hair shafts, irritability, sores from scratching, feeling of movement in hair, tickling sensation, red bumps on scalp and neck"
Liver cirrhosis,"fatigue, jaundice, easy bruising, ascites, itchy skin, leg edema, hepatic encephalopathy, spider angiomas, palmar erythema, loss of appetite, muscle wasting"
Legionnaires' disease,"high fever, chills, productive cough, shortness of breath, chest pain, muscle aches, headache, diarrhea, nausea, confusion, severe pneumonia"
Lactose intolerance,"bloating, diarrhea, gas, stomach cramps, nausea, abdominal pain after dairy, gut sounds, vomiting in severe cases, symptoms within 30 min to 2 hours of dairy intake"
Lead poisoning,"abdominal pain, headaches, memory loss, mood disorders, irritability, learning difficulties, fatigue, loss of appetite, constipation, anemia, seizures in severe cases"
Migraine,"severe throbbing headache usually one side, nausea, vomiting, extreme sensitivity to light and sound, visual aura, tingling sensations, pain lasting hours to days"
Malaria,"high fever in cycles, severe chills, profuse sweating, headache, nausea, vomiting, muscle aches, fatigue, abdominal pain, anemia, rapid breathing"
Meningitis,"sudden severe headache, stiff neck, high fever, nausea, vomiting, sensitivity to light, sensitivity to noise, confusion, seizures, non-blanching rash in bacterial form"
Multiple sclerosis,"numbness or tingling in limbs, muscle weakness, coordination problems, blurred or double vision, fatigue, dizziness, bladder problems, cognitive changes, electric shock sensation with neck flexion"
Measles,"high fever, cough, runny nose, red watery eyes, Koplik spots in mouth, spreading rash starting on face, full body rash, sensitivity to light, fatigue"
Mumps,"swollen painful salivary glands (parotitis), fever, headache, muscle aches, fatigue, loss of appetite, pain when chewing, swollen jaw, testicular pain in males"
Myopia,"blurry vision for distant objects, eye strain, squinting to see clearly, headaches, need to sit close to screen or board, difficulty driving at night"
Mononucleosis,"severe fatigue, very sore throat, fever, swollen lymph nodes in neck and armpits, swollen spleen, skin rash, loss of appetite, headache, night sweats"
Melanoma,"changing or new mole, asymmetric mole with irregular border, multiple colors in lesion, diameter larger than pencil eraser, evolving size or shape or color, itching or bleeding from mole"
Macular degeneration,"blurred central vision, dark or blank areas in central vision, straight lines appear wavy, difficulty reading, difficulty recognizing faces, loss of color perception, slow onset"
Norovirus,"sudden nausea, vomiting, watery diarrhea, stomach cramping, low-grade fever, body aches, headache, chills, rapid dehydration, duration 1-3 days"
Narcolepsy,"excessive daytime sleepiness, sudden muscle weakness triggered by emotion (cataplexy), sleep paralysis, hallucinations while falling asleep, disrupted nighttime sleep, automatic behaviors"
Nephritis,"blood in urine, reduced urine output, fluid retention and swelling, high blood pressure, fatigue, nausea, headache, foamy urine from protein loss, fever in some types"
Neuropathy,"numbness and tingling in hands and feet, sharp stabbing or burning pain, muscle weakness, loss of balance and coordination, sensitivity to touch, skin changes"
Nail fungus,"thickened nails, discoloration (yellow brown white), brittle or crumbly nails, distorted nail shape, nail separating from nail bed, foul odor, debris under nail"
Nearsightedness,"difficulty seeing distant objects clearly, eye strain, squinting, headaches, difficulty driving, need to sit close to screen, symptoms worsen in dim light"
Nosebleed,"bleeding from one or both nostrils, blood dripping to back of throat, blood in saliva, dizziness in heavy bleeding, feeling faint, difficulty breathing through nose"
Nonalcoholic fatty liver,"fatigue, abdominal discomfort in upper right side, mild jaundice in advanced cases, enlarged liver, weakness, weight loss, spider veins, often asymptomatic early"
Nystagmus,"involuntary rhythmic eye movement, reduced visual acuity, blurred vision, dizziness, head tilting or nodding, sensitivity to light, difficulty with balance"
Necrotizing fasciitis,"severe rapidly spreading pain, swelling and redness, fever, skin changes including black or bruised appearance, gas in tissue, extreme toxicity, shock, rapid progression"
Osteoporosis,"back pain from fractured vertebra, loss of height over time, stooped posture, fracture from minor falls, reduced grip strength, bone pain and tenderness"
Osteoarthritis,"joint pain worsened by activity, morning stiffness, swelling around joints, bone spurs, reduced range of motion, grating sensation in joint, tenderness on pressing, joint instability"
Obesity,"excess body fat, BMI over 30, difficulty with physical activity, breathlessness, increased sweating, joint pain, low self-esteem, sleep apnea, high blood pressure"
Otitis media,"ear pain, difficulty hearing, fluid draining from ear, fever, feeling of fullness in ear, balance problems, fussiness in children, hearing loss, ringing in ears"
Ovarian cysts,"pelvic pain or pressure, bloating, abdominal swelling, painful bowel movements, pain during intercourse, irregular periods, frequent urination, nausea if rupture"
Oral thrush,"white creamy patches on tongue and inner cheeks, redness or soreness, difficulty swallowing, loss of taste, cotton-like feeling in mouth, cracking at corners of mouth"
Obsessive-compulsive disorder,"intrusive unwanted thoughts, repetitive compulsive behaviors, excessive hand washing, checking locks repeatedly, counting or arranging rituals, fear of contamination, significant distress, time-consuming rituals, avoidance behaviors"
Optic neuritis,"eye pain especially with eye movement, sudden vision loss, blurred vision, loss of color vision, flashes of light, vision loss typically in one eye, visual field defects"
Onychomycosis,"thickened nails, yellow or brown nail discoloration, brittle nails, nail separating from nail bed, buildup under nail, distorted nail shape, odor, crumbling nail edges"
Osgood-Schlatter disease,"knee pain and swelling just below kneecap, pain worsened by running jumping or climbing stairs, tender bump below kneecap, limping, tight thigh muscles, pain during exercise"
Pneumonia,"productive cough with phlegm, high fever, chills, shortness of breath, chest pain when breathing or coughing, fatigue, nausea, vomiting, confusion in elderly"
Psoriasis,"raised red patches with thick silvery scales, dry cracked skin that may bleed, itching or burning, thickened pitted nails, joint swelling and stiffness, plaques on elbows knees and scalp"
Parkinson's disease,"resting pill-rolling tremor, muscle rigidity, slowness of movement, postural instability, shuffling gait, masked facial expression, small handwriting, soft speech, loss of smell, sleep disturbances"
Pancreatitis,"severe upper abdominal pain radiating to back, pain worsened by eating, nausea, vomiting, fever, rapid pulse, abdomen tender to touch, abdominal bloating, oily stools in chronic form"
Peptic ulcer,"burning or gnawing stomach pain between meals and at night, bloating, nausea, dark or tarry stools, vomiting blood, weight loss, pain relieved by eating then returns, heartburn"
Polio,"fever, sore throat, headache, fatigue, nausea, vomiting, meningitis symptoms, asymmetric paralysis, muscle weakness, difficulty swallowing or breathing in severe cases"
Pink eye,"red or pink discoloration of eye, itching, discharge that crusts overnight, tearing, light sensitivity, gritty feeling in eye, swollen eyelids, blurred vision"
Polycystic ovary syndrome,"irregular or absent periods, excess body hair, acne, weight gain, thinning scalp hair, darkened skin in body folds, ovarian cysts, difficulty conceiving, mood changes"
Peripheral artery disease,"leg pain during walking (claudication), leg numbness or weakness, coldness in lower leg or foot, sores on feet that won't heal, change in leg color, weak or absent pulse in legs, erectile dysfunction"
Pulmonary embolism,"sudden shortness of breath, chest pain worsening on deep breath, rapid heart rate, coughing up blood, lightheadedness, fainting, leg swelling and pain, excessive sweating, low blood pressure"
Q fever,"high fever, severe headache, muscle pain, chills, fatigue, cough, chest pain, nausea, vomiting, pneumonia, hepatitis in some cases"
Quadriplegia,"paralysis of all four limbs, loss of sensation below injury, breathing difficulties, bladder and bowel dysfunction, blood pressure instability, pressure sores, muscle spasticity"
Quinsy,"severe sore throat, difficulty swallowing, muffled voice, fever, drooling, trismus (difficulty opening mouth), unilateral throat swelling, bad breath, ear pain on same side"
Quick's disease,"easy bruising, prolonged bleeding from cuts, spontaneous nosebleeds, bleeding gums, heavy menstrual periods, blood in urine or stools, coagulation disorder"
Queensland tick typhus,"fever, headache, rash, muscle pain, tick bite eschar, swollen lymph nodes near bite, fatigue, photophobia, caused by Rickettsia australis"
Quincke's edema,"rapid onset swelling under skin especially face lips and throat, hives, itching, swelling of tongue, difficulty breathing if severe, can be life-threatening"
Qatar fever,"fever, cough, chest pain, headache, myalgia, fatigue, pneumonia, respiratory distress, similar to Q fever, systemic infection"
Quartan malaria,"cyclical fever every 72 hours, chills, sweating, headache, muscle aches, nausea, anemia, enlarged spleen, fatigue, caused by Plasmodium malariae"
Quervain's tenosynovitis,"wrist pain on thumb side, swelling over wrist and thumb base, difficulty pinching or gripping, pain when moving thumb or wrist, catching sensation"
Quinine toxicity,"nausea, vomiting, ringing in ears (tinnitus), visual disturbances, headache, dizziness, confusion, cardiac arrhythmias, low blood sugar"
Rheumatoid arthritis,"symmetrical joint pain and swelling, morning stiffness over an hour, warm red joints, fatigue, low-grade fever, loss of appetite, nodules under skin, joint deformity over time, anemia"
Rosacea,"facial redness especially on cheeks and nose, visible blood vessels, pimple-like bumps, skin thickening on nose, eye irritation, flushing from heat or spicy food, burning sensation"
Rubella,"mild fever, fine pink rash starting on face spreading to body, swollen lymph nodes behind ears, joint pain especially in adults, headache, runny nose, red eyes"
Rabies,"initial fever, headache, malaise, prickling at bite site, then agitation, hydrophobia, aerophobia, delirium, excessive salivation, paralysis in late stage, coma"
Rotavirus,"severe watery diarrhea, vomiting, fever, abdominal pain, dehydration, irritability in children, loss of appetite, symptoms lasting 3-8 days, most severe in infants"
Ringworm,"circular scaly patch on skin, itchy rash with raised edges, central clearing, redness, blisters at edges, scalp involvement causing patchy hair loss, contagious"
RSV infection,"runny nose, cough worsening over days, sneezing, fever, wheezing, decreased appetite, difficulty breathing in severe cases, bluish skin in severe infant cases"
Restless legs syndrome,"uncomfortable urge to move legs usually at night, creeping or crawling sensations, symptoms worse at rest, partial relief with movement, sleep disruption, involuntary leg jerking during sleep"
Raynaud's phenomenon,"fingers and toes turn white then blue then red in cold or stress, numbness and tingling, pain upon rewarming, color changes in response to temperature, skin sores in severe cases"
Rickets,"bone pain and tenderness, soft and weak bones, skeletal deformities including bowed legs, growth disturbances, muscle weakness, dental problems, delayed development"
Sinusitis,"facial pain or pressure around cheeks and eyes, nasal congestion, thick colored nasal discharge, reduced sense of smell, headache, toothache, cough, bad breath, fever"
Shingles,"pain burning or tingling in a stripe on one side, followed by red rash, blistering, sensitivity to touch, itching, fever, headache, fatigue, pain preceding rash by days"
Stroke,"sudden facial drooping, arm weakness especially one side, slurred or absent speech, sudden severe headache, sudden vision problems, sudden dizziness, loss of balance, confusion"
Scoliosis,"uneven shoulders, one shoulder blade more prominent, uneven waist, one hip higher than other, leaning to one side, back pain in adults, rib cage protrusion on one side"
Sarcoidosis,"persistent cough, shortness of breath, fatigue, swollen lymph nodes, red bumps or lesions on skin, joint pain, fever, weight loss, eye inflammation, irregular heartbeat"
Sepsis,"high or very low temperature, rapid heart rate, rapid breathing, altered mental status, extreme pain, clammy or sweaty skin, decreased urine output, organ dysfunction signs"
Sickle cell anemia,"episodes of severe pain (pain crises), anemia, fatigue, swelling in hands and feet, frequent infections, delayed growth, vision problems, jaundice, stroke risk"
Sleep apnea,"loud snoring, gasping or choking during sleep, excessive daytime sleepiness, morning headache, dry mouth or sore throat on waking, difficulty concentrating, irritability, frequent night waking"
Strep throat,"sudden severe sore throat, painful swallowing, fever above 38°C, swollen tender lymph nodes, red swollen tonsils with white patches, no cough, headache, rash in scarlet fever"
Syphilis,"painless round sore (chancre) at infection site, swollen lymph nodes, rash on palms and soles in secondary stage, flu-like symptoms, joint pain, systemic involvement in tertiary"
Tuberculosis,"persistent cough lasting 3+ weeks, coughing up blood or phlegm, chest pain, unintentional weight loss, fever, night sweats, fatigue, chills, loss of appetite, lymph node enlargement"
Tetanus,"jaw cramping and lockjaw, sudden painful muscle spasms, stiff neck, difficulty swallowing, fever, sweating, rapid heart rate, blood pressure fluctuations"
Thyroid disorder,"fatigue, weight changes, mood swings, temperature sensitivity, hair loss, heart rate changes, bowel habit changes, skin changes, anxiety or depression, muscle weakness"
